Frecuency_Aportes;Frecuency_Rescates;Monetary_Aportes;Monetary_Rescates;Recency_Aportes;Recency_Rescates;Perfil_Movimientos;Perfil_Cliente;Sexo;Estado_Civil;Ingeniero;Region_Metropolitana;Porcentaje_Promedio;Edad;Antiguedad;Accionario;Corto;Rentsem;Rentmen;EEUU;Nacional;FugaBajaS;FugaBajaM;RescateBajaSem;RescateBajaMes;FugaCategorica;FugaNumerica;CLV;
0,197674419;0;0,678120375;0;0,827245751;1;0,833333333;1;0;0;1;1;0;0,336987742;0,339933993;0,424242424;0;0,468389597;0,578185672;0;0,121212121;0;0;0;0;N;0;60973,18441;83,21223732
0;0,03125;0;0,913850803;1;0,969079277;1;0,5;0;0;1;1;0,196722863;0,399813908;0,438472419;1;0;0,259467257;0,660098988;0,375;0;0,333333333;0,333333333;1;1;N;0;77202,74209;105,3612823
0;0;0;0;1;1;0,5;0,5;0;0;0;1;0;0,300538048;0,363979255;0;0;0,407755717;0,546356696;0;0;0;0;0;0;N;0;406,4878961;0,554748249
0;0,041666667;0;0,759832855;1;0,84748882;0,547619048;0,5;0;0;0;0;0,197544578;0,498321129;0,338991042;0,19047619;0,142857143;0,367730758;0,517542056;0;0,238095238;0;0,25;0,25;0,5;N;0;411,6096436;0,561738077
0,011627907;0,010416667;0,895894362;0,897548586;0,825990836;0,568007648;0,4375;0,5;0;0;1;1;0,241976997;0,243901452;0,338991042;0;0;0,431678099;0,487349943;0;0,5;1;1;1;1;F;1;101029,4366;137,8784057
0;0,020833333;0;0,867596761;1;0,982480813;1;0,25;0;1;1;1;0,299616767;0,290950281;0,338991042;0,5;0;0,210145269;0,414352097;0,5;0;0,5;0,5;1;1;N;0;13079,68298;17,85030083
0,046511628;0,09375;0,663776525;0,623913559;0,839392371;0,664482145;0,566666667;0,5;0;1;1;0;0,058565701;0,458270966;0,702970297;0,133333333;0;0,344033478;0,52156763;0;0;0;0;0,222222222;0,222222222;N;0;831,1661255;1,134321482
0,174418605;0,135416667;0,739285374;0,743251855;0,059387069;0,507151299;0,579365079;0,25;0;0;0;0;0,179397427;0,275132489;0,338519566;0,142857143;0,174603175;0,358144078;0,489395433;0,047619048;0,349206349;0,153846154;0,153846154;0,384615385;0,461538462;F;1;10636,54845;14,51606969
0;0,0625;0;0,694188908;1;0,986568728;0,708333333;0,5;1;0;1;0;0,118642;0,299567135;0,337576615;0,5;0;0,332736111;0,56106755;0,166666667;0,166666667;0,166666667;0,166666667;0,5;0,666666667;N;0;882,0380857;1,203748225
0,011627907;0;0,708939548;0;0,85197667;1;1;0,75;0;0;0;0;0;0,280067964;0,337576615;1;0;0,529719719;0,671104297;0,2;0;0;0;0;0;N;0;8129,757921;11,09496498
0,011627907;0;0,76769402;0;0,143088442;1;0,875;0,5;0;0;1;1;0;0,228528662;0,337576615;0,5;0;0,158433282;0,473010009;0,5;0;0;0;0;0;F;1;20324,3948;27,73741244
0;0;0;0;1;1;0,8;0,75;0;1;0;1;0;0,169383875;0,362093352;0,6;0;0,314333719;0,569749945;0,2;0;0;0;0;0;N;0;60973,18441;83,21223732
